index,song_name,recommendation
0,"Sunrise, Sunset","['Bonnie & Clyde', 'Perdón', 'A Different Way (with Lauv)', 'Wasted Time', 'Mariposa de Barrio']"
1,Easy Tonight,"['When Someone Stops Loving You', 'gray', 'This Feeling', 'Moonlight', 'Young Blood']"
2,I Want Us Back,"['Maybe This Time (Glee Cast Version) (feat. Kristin Chenoweth)', ""I Don't Care"", 'Ghost Of A Good Thing', 'O God Forgive Us', 'Old Man']"
3,Superboy & Supergirl,"['Down Under - Acoustic Version', 'Take My Head', ""The Way You'd Love Her"", 'See the World', 'Fall Line']"
4,Los Sonidos del Silencio,"['Jingle Bells', 'Wake Up', 'Omae Wa Mou', 'Home For The Holidays (feat. Jack Jezzro)', 'Yesterday']"
5,Sleepwalk Capsules,"['Pressure', 'Shotta Flow 5', 'Lonely Too Long', 'Bless The Lord (Son Of Man)', 'Hollywood']"
6,Something Vague,"['Own It (feat. Ed Sheeran & Burna Boy)', 'I Wanna Benz', 'Deceivers', 'Talk Up (feat. Jay-Z)', 'Lace Up']"
7,Selfish Man,"[""Show 'Em the Ropes"", 'A Gunshot to the Head of Trepidation', ""I'll Be Around"", 'Set It On Fire', 'The Spirit Of Radio']"
8,What's My Age Again? - Live/1999,"[""Ruby, Don't Take Your Love to Town"", 'Stand Up', 'The Truth Is... (I Lied About Everything)', 'Nice Time', '679 (feat. Remy Boyz)']"
9,Balance Beam,"['Super Trouper', 'Take Me to the River - 2003 Remaster', 'Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix]', ""Young & Gettin' It (feat. Kirko Bangz)"", 'Hellfire']"
10,Reasons Why,"['Bella Luna', 'Here Comes Goodbye', '第一次', ""I'm Okay"", 'Seasons Of Love (Glee Cast Version)']"
11,Southern Hospitality,"['Soak Up The Sun', 'Pretty Please', 'Tra Tra Tra Remix - Remix', 'Diamonds', 'Song of the Caged Bird']"
12,Remember Me,"['Sleeping Baby', 'A Cappella', 'Summertime The Gershwin Version', 'A Dream Is a Wish Your Heart Makes', 'Honeymoon']"
13,El Alem Allah,"['HIT EM WHERE IT HURTS', 'Nobody', 'Unstoppable', 'Freedom of Speech', 'Girlfriend (feat. Nelly) - The Neptunes Remix']"
14,Viajero,"[""It's My Life / Confessions Part II (Glee Cast Version)"", 'Evil Twin', 'Perdóname Amá', 'Tell Me How You Like It', 'Circulate']"
15,Toilet Tisha,"['Cassidy', 'Surf Crazy', 'Rella (feat. Hodgy, Domo Genesis & Tyler, The Creator)', 'Cloud Nine', 'Trashcan']"
16,Going Away To College - Live/1999,"['Rawkfist', 'Do Something', 'Shreveport', 'The Electric Version', 'title track']"
17,Domingo Corrales,"['Mi Vida Eres Tú', 'Cuenta Conmigo', 'El Corrido de el Fantasma - En Vivo', 'Tu Vuo Fa \'L\'Americano - From ""The American"" Soundtrack', 'El Mentado']"
18,Bullet Ride,"['The Lost Vikings', 'Mutherfucker of the Year', 'Invincible', 'Indian Summer', 'If I Could Fly']"
19,Upgrade (A Baymar College College),"['How Bad Do You Want It', 'she likes spring, I prefer winter', ""She's My Witch"", 'Wash Away (reprise)', 'The Man, The Myth, The Legend - Interlude']"
20,"Grinch Schedule - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack","[""Cheers Darlin'"", 'UWU', 'Down', 'Dress', 'Rockabye Baby']"
21,On The Roof Again,"['Shiroyama', 'Are You Ready', 'A Day Late', 'Angus McFife', 'title track']"
22,Con Manos Vacias,"['Like You', 'No One But You (Only The Good Die Young) - Remastered 2011', 'Down', 'Short Crush', 'Te Soñé']"
23,The 6th Gate (Dance With the Devil) - Original Extended,"['No Way', 'Midnight Thunderstorm Part 2', 'Real Nigga', 'Animals - Radio Edit', 'Zero']"
24,Stutter,"['Dirt Road Anthem (Remix) [feat. Ludacris]', 'Make It Mine', 'El Próximo Viernes - Live Version', 'Mal Bicho', 'Delilah']"
25,Keep My Name out Yo Mouth,"['Smile', 'Vacation', 'Losing My Mind', 'No Sucker (feat. Moneybagg Yo)', 'THE END']"
26,Saw A Gangsta Cry,"['High (& Dua Lipa)', '18 Libras', 'Harajuku Girls', 'Every Night', 'Luh You']"
27,I Get A Kick Out Of You - Remastered,"['How Bad Do You Want It', 'she likes spring, I prefer winter', ""She's My Witch"", 'Wash Away (reprise)', 'The Man, The Myth, The Legend - Interlude']"
28,Like a Real Freak,"['Zombies', 'Fairplay', 'New York', 'I Say a Little Prayer', 'The Best Is Yet To Come - 2008 Remastered']"
29,Faces In Disguise,"['Sacred Lie', 'Realiti', 'Animals', 'Hosanna', 'You Know What You Are?']"
30,Love So Nice,"['El Cero Dos', 'Trace McSorley', ""Ain't Together"", 'Seis Pies Abajo', 'I Can\'t Take My Eyes Off of You - From ""High School Musical""/Soundtrack Version']"
31,Islands in the Stream,"['Say Hello', 'How Come', 'Sin Ti No Hay Vida', 'Jesus In Disguise', 'WISH FEAT. KIDDO MARV']"
32,Aliens Exist - Live/1999,"['Scared', 'Little Poor Me', 'Alive', 'Golosa - Versión Original', ""I Bet U Won't""]"
33,La Vecina,"['I Gotta Go', ""If You Think You're Lonely Now"", 'She and I', 'Percussion Gun', 'Ojos De Maniaco']"
