index,song_id,song_name,recommendation
0,3Zo6R22retEhAnQBbam5As,"Sunrise, Sunset","['6IFpwncCkKrXHyP0RuG9r6', '2LgGkK27qwPG4ls3OsNmuj', '1YMBg7rOjxzbya0fPOYfNX', '4hjJBjxN6IT0sDyTGlo5tA', '02ykJXbTaAyxPgaicIRxo4']"
1,57PHqrPsX6E7OX9LeKSo9Q,Easy Tonight,"['7A55QoGK0vf8lGNtaWZm45', '6k8Z9CtoRLk9mXarke5LHQ', '5SECgk6Gf1TVMy2FApJmSO', '4XrvRf68c9H4orZZ9KoldQ', '5ngcqrs4Xq915GUqNtNNr5']"
2,78fea7TlOR653bI5x0m9aU,I Want Us Back,"['6cUf9i28VLmBKCBTyiS4vT', '6j4w8O8gEseBUZTOo8vYMK', '6BbOlYFXUxEIXGHJcIkvme', '2dBpNhfNCT1XkBRAOdam5J', '2yNGARwYc253fKGIy0CoyO']"
3,7kbvZI5tnmk2ofhBuOB3rt,Superboy & Supergirl,"['2si9eTiTFNfLRiXGzlIFTA', '6asiqDcVfxLVGah08wOnGQ', '1hYz27mkvDvokNzyTyqUru', '3AkQyzLlpRfSYla0iawIPn', '4nvYJZca0LmEyKbwumPvsH']"
4,2lD4IvKSvSYqWyM4QyRFSZ,Los Sonidos del Silencio,"['7sli4nxk0y6nZbZ7U8c6Dy', '73SyPIx501G3211y3oTYns', '1M8rJIlT5HcGmvzZyssBlG', '1naya1zQEQpZ6znRcohDgI', '0Vg1lQpk2IHk2JU8UfAa5d']"
5,3S59EdH9sqkEewzw9ucbna,Sleepwalk Capsules,"['3W4xpnA5BVg9qduchV1mQy', '6pOpsuCxYF1cuRkHBPDigj', '7qe3hsbXCiu3snlH1fU6Sc', '1iAn7QNrwCvHndzxU84CoR', '4ixxz1GXB57Q6K2nbR4AwL']"
6,7eUVluJU03fnTuCcNC8ITH,Something Vague,"['4QPEwDdOMhY7rNS05mTyMR', '4T10Ts9Btb1QL89cAO3pq6', '7kbMPJRI4fQaXygxcGsv1R', '4ksuI04WMvUnJbHQjgs3L5', '5ZrUonmI5ebVMFPRAvSkVJ']"
7,2durL0niNTiZPum90mzm0a,Selfish Man,"['2WiyFgPQAolfbUJxysGSk2', '3uq1JSqEFzVzcmFJc6SXDS', '1EXMtjti643XyQLiGDdki0', '5XpUPdTWLLQiNkPbuku2Nj', '4s5Rfu5ljwBx3ij5SwCDqq']"
8,2wwSdRBz6NUfpZKqFcVJiD,What's My Age Again? - Live/1999,"['14QHSppZoEQO0emVSuUzPf', '1H0OfC5lpDqeTkgPCg8M81', '7qe0UUpG2whP8L5HUBSqJA', '79bCYp9aWLSsgiBCKzkqxw', '33CFCErrSDgJKZiqhv5B7s']"
9,6QQ0Ulwtg0EY0UpR9cEqp9,Balance Beam,"['36PNa2n55qLfQd7KLXyeoy', '1DgMJfHxwxypi3CpC8veV3', '37s8uwIjw72XfMseKJXNOO', '6MVdz8I7oYm86MRzZiOZa8', '00RI7b6oZDjx6IQC2eH6bh']"
